Transcript_ID_clean	gencode_gene_name	mean_TPM_contribution	mean_log2TPM_contribution	median_TPM_contribution	n_samples_expressed_TPM_ge_1	mean_two_predictor_probability	gene_label	label
ENST00000380394	RPS6	2311.25	11.17508167482833	2311.25	1	0.8852537992989209	RPS6	RPS6 | ENST 00000380394
ENST00000469257	EIF1	837.2418333333334	9.704539279169497	864.3275	6	0.924799616740149	EIF1	EIF1 | ENST 00000469257
ENST00000478990	KMT2E	679.3135	9.409302503092793	679.3135	2	0.9017788118139125	KMT2E	KMT2E | ENST 00000478990
ENST00000527673	RPS25	544.0388	8.83769664291501	506.587	5	0.9348708434643486	RPS25	RPS25 | ENST 00000527673
ENST00000302312	AHSP	424.743	8.733838999306709	424.743	1	0.9102008924906032	AHSP	AHSP | ENST 00000302312
ENST00000591776	EIF1	410.64366666666666	8.593328619939957	383.5125	6	0.9004662516159287	EIF1	EIF1 | ENST 00000591776
ENST00000361479	MPHOSPH8	291.78	8.18354148579155	291.78	2	0.8984273121308013	MPHOSPH8	MPHOSPH8 | ENST 00000361479
ENST00000489828	SRPK2	221.66313333333335	7.525823186456852	192.252	6	0.91841839148641	SRPK2	SRPK2 | ENST 00000489828
ENST00000638183	PIGN	186.5537375	7.424122866229888	172.07600000000002	8	0.9050701975417379	PIGN	PIGN | ENST 00000638183
ENST00000290158	KPNB1	160.66754	7.2633359225917875	154.97	5	0.7908472868063056	KPNB1	KPNB1 | ENST 00000290158
ENST00000507943	BOD1L1	157.8543125	7.117253419976981	161.25400000000002	8	0.9113878301014591	BOD1L1	BOD1L1 | ENST 00000507943
ENST00000358230	TMBIM4	155.38801666666666	7.0889651543339225	162.9565	6	0.8912737694073867	TMBIM4	TMBIM4 | ENST 00000358230
ENST00000392533	TAOK3	141.99796666666666	6.792688319868625	161.73149999999998	6	0.9288219324355024	TAOK3	TAOK3 | ENST 00000392533
ENST00000319363	IL17RA	139.9076142857143	6.891246824766911	142.287	7	0.7233354436265002	IL17RA	IL17RA | ENST 00000319363
ENST00000309955	CFLAR	127.391925	6.832673881537531	125.1535	8	0.8906248772786982	CFLAR	CFLAR | ENST 00000309955
ENST00000303305	PA2G4	110.05194999999999	6.680587065082514	113.60225	6	0.8928650037881939	PA2G4	PA2G4 | ENST 00000303305
ENST00000296140	CCR1	107.3691	6.377799520703396	70.9759	7	0.9198814351162038	CCR1	CCR1 | ENST 00000296140
ENST00000406921	ITSN2	103.15336666666667	6.374540452684837	88.1605	9	0.8971110410200631	ITSN2	ITSN2 | ENST 00000406921
ENST00000232905	EIF1B	101.70197142857144	6.622861044291681	105.15	7	0.8430947637216161	EIF1B	EIF1B | ENST 00000232905
ENST00000370990	SERBP1	101.264575	6.603226256989437	93.8528	8	0.9405915293528366	SERBP1	SERBP1 | ENST 00000370990
ENST00000474629	PARP14	100.05331428571428	6.294374044927295	63.5667	7	0.8873234001710868	PARP14	PARP14 | ENST 00000474629
ENST00000409714	PPIG	99.91775	6.265909149234527	90.82385	8	0.9351415291947305	PPIG	PPIG | ENST 00000409714
ENST00000398944	EIF3CL	88.881025	6.430191654277312	95.2919	8	0.915429345999058	EIF3CL	EIF3CL | ENST 00000398944
ENST00000692500	SMIM27	87.36337499999999	5.810777340458938	41.21685	8	0.9449575102266143	SMIM27	SMIM27 | ENST 00000692500
ENST00000471994	RSRC1	86.16006	6.164498983649446	102.589	5	0.9012246162486999	RSRC1	RSRC1 | ENST 00000471994
ENST00000253413	ATP6V1E1	83.16978571428571	6.334389648492301	80.302	7	0.9400510515907273	ATP6V1E1	ATP6V1E1 | ENST 00000253413
ENST00000568065	XPO6	79.7362	6.111952755667502	90.8826	8	0.8984560219168394	XPO6	XPO6 | ENST 00000568065
ENST00000444272	SYNCRIP	77.90938	6.170677688454698	72.7937	5	0.9048500963205409	SYNCRIP	SYNCRIP | ENST 00000444272
ENST00000268182	IQGAP1	76.69286	6.239772959854051	78.0972	5	0.8401895755206059	IQGAP1	IQGAP1 | ENST 00000268182
ENST00000325602	P2RY13	75.43328571428572	6.059804530420193	71.5676	7	0.9227398525166148	P2RY13	P2RY13 | ENST 00000325602
ENST00000419821	TAOK3	74.5054	5.889447906649174	64.8233	6	0.9288219324355024	TAOK3	TAOK3 | ENST 00000419821
ENST00000397261	ARPC4	74.4831875	6.070068526786626	84.88765000000001	8	0.9093024300883759	ARPC4	ARPC4 | ENST 00000397261
ENST00000420107	CNOT11	73.67078375	5.543134155186638	70.0127	8	0.9200698795306022	CNOT11	CNOT11 | ENST 00000420107
ENST00000474378	PABPC4	73.0505	6.09545983222897	88.8656	9	0.9160979088202438	PABPC4	PABPC4 | ENST 00000474378
ENST00000357996	FEZ2	73.00746666666666	5.990164779510459	58.1454	9	0.9162874818910064	FEZ2	FEZ2 | ENST 00000357996
ENST00000357604	UPF2	72.58148333333334	6.0042530808372945	84.1566	6	0.9292374577795343	UPF2	UPF2 | ENST 00000357604
ENST00000475278	RSRC1	71.75775999999999	6.012948574099463	74.7028	5	0.9072459562248698	RSRC1	RSRC1 | ENST 00000475278
